Create New File,Make Directory,New Challenge
"copy README.md  ""2019 Week 27- C&BS Co- Valentine's analysis"" ","md ""2019 Week 27- C&BS Co- Valentine's analysis"" ",2019 Week 27- C&BS Co- Valentine's analysis
"copy README.md  ""2019 Week 28- C&BS Co- People time recording"" ","md ""2019 Week 28- C&BS Co- People time recording"" ",2019 Week 28- C&BS Co- People time recording
"copy README.md  ""2019 Week 29- C&BS Co- Subscription package financial model"" ","md ""2019 Week 29- C&BS Co- Subscription package financial model"" ",2019 Week 29- C&BS Co- Subscription package financial model
"copy README.md  ""2019 Week 30- Serpentine Swimming Club"" ","md ""2019 Week 30- Serpentine Swimming Club"" ",2019 Week 30- Serpentine Swimming Club
"copy README.md  ""2019 Week 31- C&BS Co- Orders and Operational Stats"" ","md ""2019 Week 31- C&BS Co- Orders and Operational Stats"" ",2019 Week 31- C&BS Co- Orders and Operational Stats
"copy README.md  ""2019 Week 32- C&BS Co- Multiple products, multiple columns"" ","md ""2019 Week 32- C&BS Co- Multiple products, multiple columns"" ","2019 Week 32- C&BS Co- Multiple products, multiple columns"
"copy README.md  ""2019 Week 33- C&BS Co- HR data from multiple sources"" ","md ""2019 Week 33- C&BS Co- HR data from multiple sources"" ",2019 Week 33- C&BS Co- HR data from multiple sources
"copy README.md  ""2019 Week 34- C&BS Co- Supplier Timings part I"" ","md ""2019 Week 34- C&BS Co- Supplier Timings part I"" ",2019 Week 34- C&BS Co- Supplier Timings part I
"copy README.md  ""2019 Week 35- C&BS Co- Supplier Timings part II"" ","md ""2019 Week 35- C&BS Co- Supplier Timings part II"" ",2019 Week 35- C&BS Co- Supplier Timings part II
"copy README.md  ""2019 Week 36- Reusable Steps - Metric Conversion"" ","md ""2019 Week 36- Reusable Steps - Metric Conversion"" ",2019 Week 36- Reusable Steps - Metric Conversion
"copy README.md  ""2019 Week 37- Aggregations, aggregations and more aggregations"" ","md ""2019 Week 37- Aggregations, aggregations and more aggregations"" ","2019 Week 37- Aggregations, aggregations and more aggregations"
"copy README.md  ""2019 Week 38- Health in Harmony "" ","md ""2019 Week 38- Health in Harmony "" ",2019 Week 38- Health in Harmony 
"copy README.md  ""2019 Week 39- C&BS Co- Web Analytics"" ","md ""2019 Week 39- C&BS Co- Web Analytics"" ",2019 Week 39- C&BS Co- Web Analytics
"copy README.md  ""2019 Week 40- Sudzilla Conference Survey results"" ","md ""2019 Week 40- Sudzilla Conference Survey results"" ",2019 Week 40- Sudzilla Conference Survey results
"copy README.md  ""2019 Week 41- C&BS Co- Complaints and Returns"" ","md ""2019 Week 41- C&BS Co- Complaints and Returns"" ",2019 Week 41- C&BS Co- Complaints and Returns
"copy README.md  ""2019 Week 42- C&BS Co- International Expansion"" ","md ""2019 Week 42- C&BS Co- International Expansion"" ",2019 Week 42- C&BS Co- International Expansion
"copy README.md  ""2019 Week 43- C&BS Co- End of Year Store Targets"" ","md ""2019 Week 43- C&BS Co- End of Year Store Targets"" ",2019 Week 43- C&BS Co- End of Year Store Targets
"copy README.md  ""2019 Week 44- C&BS Co- End of Year Team Member Performance"" ","md ""2019 Week 44- C&BS Co- End of Year Team Member Performance"" ",2019 Week 44- C&BS Co- End of Year Team Member Performance
"copy README.md  ""2019 Week 45- C&BS Co- Duplication and So, So Many Files"" ","md ""2019 Week 45- C&BS Co- Duplication and So, So Many Files"" ","2019 Week 45- C&BS Co- Duplication and So, So Many Files"
"copy README.md  ""2019 Week 46- Naughty & Nice List"" ","md ""2019 Week 46- Naughty & Nice List"" ",2019 Week 46- Naughty & Nice List
